,,,Composition_Formula,Heat_of_Formation_eVperMolH2,Heat_of_Formation_kJperMolH2
Cs,,, Cs1H1,-0.156556856,-15.10543523
Cs,,, Cs1H3,0.651181702,62.82946188
Cs,,, Cs3H1,0.300619754,29.00538719
Ba,,, Ba1H1,-0.246660021,-23.79906613
Ba,,, Ba3H1,0.473013427,45.6388424
Ba,,, Ba1H2,-0.490697406,-47.34508639
Ba,,, Ba1H3,0.055761346,5.380150184
La,,, La1H1,-0.430096021,-41.49794362
La,,, La3H1,0.163059512,15.73284593
La,,, La1H2,-0.631946481,-60.97354585
La,,, La1H3,-0.572970184,-55.28320011
La,,, La2H5,-0.610157165,-58.87119712
La,,, La4H9,-0.621968002,-60.01076922
Ce,,, Ce1H1,-0.382325005,-36.88874279
Ce,,, Ce3H1,0.208964578,20.16200996
Ce,,, Ce1H2,-0.594183344,-57.3299582
Ce,,, Ce1H3,-0.487018281,-46.99010495
Ce,,, Ce2H5,-0.55384613,-53.43801002
Pr,,, Pr1H1,-0.387636895,-37.40126209
Pr,,, Pr1H2,-0.613411541,-59.18519652
Pr,,, Pr1H3,-0.499650631,-48.20894103
Pr,,, Pr3H1,0.20895708,20.16128656
Nd,,, Nd1H1,-0.388897109,-37.52285419
Nd,,, Nd3H1,0.210802162,20.33930984
Nd,,, Nd1H2,-0.628316593,-60.62331498
Nd,,, Nd1H3,-0.549260936,-52.99560617
Pm,,, Pm1H1,-0.391255512,-37.75040548
Pm,,, Pm3H1,0.212360621,20.48967826
Pm,,, Pm1H3,-0.521211992,-50.28929544
Sm,,, Sm1H1,-0.38373667,-37.02494771
Sm,,, Sm3H1,0.215474573,20.79012878
Sm,,, Sm1H2,-0.653523514,-63.0554123
Sm,,, Sm1H3,-0.572094846,-55.19874289
Eu,,, Eu1H1,-0.352133911,-33.97574605
Eu,,, Eu1H2,-0.642443771,-61.98638002
Eu,,, Eu1H3,-0.134238492,-12.95204114
Eu,,, Eu3H1,0.427324949,41.23057595
Gd,,, Gd1H1,-0.3754321,-36.22367878
Gd,,, Gd3H1,0.217874624,21.02169844
Gd,,, Gd1H2,-0.681436951,-65.74864861
Gd,,, Gd1H3,-0.595993328,-57.50459502
Tb,,, Tb1H1,-0.057743258,-5.571375612
Tb,,, Tb3H1,0.712575716,68.75308173
Tb,,, Tb1H2,-0.468317476,-45.1857522
Tb,,, Tb1H3,-0.437069053,-42.17073872
Tb,,, Tb4H9,-0.457878317,-44.17852676
Dy,,, Dy1H1,-0.395989124,-38.20712947
Dy,,, Dy3H1,0.626150424,60.41431155
Dy,,, Dy1H2,-0.691698807,-66.7387669
Dy,,, Dy1H3,-0.605387319,-58.41097706
Ho,,, Ho1H1,-0.403278793,-38.9104753
Ho,,, Ho3H1,0.631044012,60.88647081
Ho,,, Ho1H2,-0.693770659,-66.93867019
Ho,,, Ho1H3,-0.607169863,-58.58296637
Er,,, Er1H1,-0.449823629,-43.40136775
Er,,, Er3H1,0.636482909,61.41124446
Er,,, Er1H2,-0.694150861,-66.97535411
Er,,, Er1H3,-0.607723187,-58.63635398
Tm,,, Tm1H1,-0.410072926,-39.5660093
Tm,,, Tm3H1,0.643014729,62.04146908
Tm,,, Tm1H2,-0.691521771,-66.72168558
Tm,,, Tm1H3,-0.606512791,-58.51956861
Yb,,, Yb1H1,-0.257502016,-24.84515927
Yb,,, Yb3H1,0.398051157,38.40608529
Yb,,, Yb1H2,-0.615621346,-59.3984103
Yb,,, Yb1H3,-0.136172242,-13.13861959
Yb,,, Yb3H8,-0.347081112,-33.48822521
Lu,,, Lu1H1,-0.410062884,-39.56504034
Lu,,, Lu3H1,0.654512038,63.15079036
Lu,,, Lu1H2,-0.681496533,-65.75439745
Lu,,, Lu1H3,-0.509246098,-49.13476253
Hf,,, Hf1H1,-0.316602424,-30.54747982
Hf,,, Hf3H1,0.365349909,35.25089562
Hf,,, Hf1H2,-0.486180246,-46.90924693
Hf,,, Hf1H3,-0.2266118,-21.86470754
Ta,,, Ta1H1,-0.049951316,-4.819567719
Ta,,, Ta2H1,-0.154297134,-14.88740527
Ta,,, Ta3H1,0.871260106,84.06379268
Ta,,, Ta1H2,-0.098092905,-9.464523346
Ta,,, Ta1H3,0.080094703,7.727961482
W,,, H1W1,0.240410289,23.19605885
W,,, H1W3,1.079497867,104.1556755
W,,, H3W1,0.370453852,35.74335106
Re,,, Re1H1,0.232204731,22.40434317
Re,,, Re3H1,0.810415941,78.19322516
Re,,, Re1H3,0.495270535,47.78632611
Os,,, H1Os1,0.470083009,45.35610014
Os,,, H1Os3,0.933782454,90.09628025
Os,,, H3Os1,0.477381226,46.06027079
Ir,,, H1Ir1,0.429052624,41.39727113
Ir,,, H1Ir3,0.674588534,65.08787712
Ir,,, H3Ir1,0.370200218,35.71887913
Pt,,, H1Pt1,0.129131639,12.45930492
Pt,,, H1Pt3,0.537375512,51.84883748
Pt,,, H3Pt1,0.506328886,48.85329445
Au,,, H1Au1,0.364327739,35.15227119
Au,,, H1Au3,0.458169989,44.20666888
Au,,, H3Au1,0.70460157,67.98369382
Hg,,, Hg1H1,0.565461171,54.55869076
Hg,,, Hg3H1,0.463285123,44.7002041
Hg,,, Hg1H3,0.82116228,79.2300889
Tl,,, Tl1H1,0.445672981,43.00089131
Tl,,, Tl3H1,0.454343416,43.83746077
Tl,,, Tl1H3,0.725052087,69.95686814
Pb,,, H1Pb1,0.471230034,45.46677119
Pb,,, H3Pb1,0.771277561,74.41694684
Pb,,, H1Pb3,0.444930272,42.92923077
Bi,,, Bi1H1,0.624127061,60.21908676
Bi,,, Bi3H1,0.471127311,45.45685991
Bi,,, Bi1H3,0.75236848,72.59249847
Bi,,, Bi2H1,0.378507893,36.52044757
Ac,,, Ac1H1,-0.34361318,-33.15362074
Ac,,, Ac3H1,0.227013161,21.90343297
Ac,,, Ac1H2,-0.568285374,-54.83118479
Ac,,, Ac1H3,-0.547239946,-52.80061036
Th,,, Th1H1,-0.261566766,-25.2373479
Th,,, Th3H1,0.354303069,34.18503795
Th,,, Th4H15,-0.46822512,-45.17684118
Th,,, Th1H2,-0.484355075,-46.7331447
Th,,, Th1H3,-0.423330734,-40.84519288
Pa,,, Pa1H1,-0.132856166,-12.81866704
Pa,,, Pa3H1,0.525104742,50.66488856
Pa,,, Pa1H3,-0.362464483,-34.97249437
U,,, U1H1,-0.002237764,-0.215911292
U,,, U3H1,0.399477143,38.54367201
U,,, U1H3,-0.265673788,-25.63361516
Np,,, Np1H1,0.100908045,9.736142949
Np,,, Np1H2,-0.117756274,-11.36174946
Np,,, Np1H3,-0.219859696,-21.21322876
Np,,, Np3H1,0.355731848,34.32289406
Pu,,, Pu1H1,-0.171393891,-16.536991
Pu,,, Pu3H1,0.377233469,36.39748447
Pu,,, Pu1H2,-0.339902575,-32.7956019
Pu,,, Pu1H3,-0.363236219,-35.04695557
,,,,,
 Li, Be,, Li1Be1H3,-0.221694501,-21.39026042
 Li, Be,, Li2Be1H4,-0.299368425,-28.88465233
 Li, Mg,, Li1Mg1H3,-0.266052648,-25.67016957
 Li, Mg,, Li2Mg1H4,-0.294234043,-28.38925994
 Li, Al,, Li1Al1H4,-0.137884687,-13.30384538
 Li, Al,, Li3Al1H6,-0.271945915,-26.23878317
 Li, Ca,, Li1Ca1H3,-0.484671084,-46.76363494
 Li, Ga,, Li1Ga1H4,-0.092381266,-8.913434208
 Li, Sr,, Sr1Li1H3,-0.029367581,-2.833539893
 Li, Ru,, Li4H6Ru1,-0.416732082,-40.20851996
 Li, Rh,, Li3H4Rh1,-0.412535036,-39.80356672
 Li, Rh,, Li4H4Rh1,-0.41195006,-39.74712511
 Li, Rh,, Li4H5Rh1,-0.353119155,-34.07080761
 Li, Rh,, Li3H6Rh1,-0.404424284,-39.02099835
 Li, Pd,, Li1H1Pd1,-0.156939274,-15.14233294
 Li, Pd,, Li2H2Pd1,-0.435876153,-42.05564137
 Li, Ba,, Ba1Li1H3,-0.509957339,-49.20338687
 Li, Eu,, Li1Eu1H3,-0.587086791,-56.64524519
 Li, Os,, Li4H6Os1,-0.403223229,-38.90511425
 Li, Ir,, Li3H6Ir1,-0.454087329,-43.81275215
 Li, Pt,, Li2H2Pt1,-0.497747265,-48.02529418
 Li, Pt,, Li2H6Pt1,-0.358536685,-34.59351959
 Li, Pt,, Li5H9Pt2,-0.421284275,-40.64773963
 Be, Na,, Na2Be1H4,-0.25576158,-24.67723278
 Be, Na,, Na1Be1H3,-0.069513253,-6.707007116
 Be, Al,, Be1Al1H5,-0.008645901,-0.834202337
 Be, K,, K1Be1H3,-0.099623327,-9.612186623
 Be, Ga,, Be1Ga1H5,0.08158217,7.871480169
 Be, Rb,, Rb1Be1H3,-0.088622372,-8.550756131
 Be, Cs,, Cs1Be1H3,-0.108767008,-10.49441743
 Na, Mg,, Na1Mg1H3,-0.230435252,-22.23361445
 Na, Al,, Na1Al1H4,-0.149002699,-14.37657012
 Na, Al,, Na3Al1H6,-0.206073237,-19.88303805
 Na, Al,, Na5Al3H14,-0.166474024,-16.06229613
 Na, Ca,, Na1Ca1H3,-0.374735584,-36.15647529
 Na, Ga,, Na1Ga1H4,-0.116170198,-11.20871643
 Na, Ru,, Na4H6Ru1,-0.296730718,-28.63015233
 Na, Rh,, Na3H6Rh1,-0.354986943,-34.25102165
 Na, Pd,, Na1H2Pd3,-0.203538568,-19.63847975
 Na, Pd,, Na2H2Pd1,-0.308256691,-29.74223933
 Na, Pd,, Na2H4Pd1,-0.278768016,-26.89701563
 Na, Ir,, Na3H6Ir1,-0.402316443,-38.8176227
 Na, Pt,, Na2H4Pt1,-0.39579969,-38.18885184
 Na, Pt,, Na2H6Pt1,-0.374825017,-36.16510423
 Mg, Al,, Mg16Al12H1,0.010191611,0.983340619
 Mg, Al,, Mg17Al11H1,0.014729545,1.421184525
 Mg, Al,, Mg1Al1H5,-0.072829201,-7.026947281
 Mg, Al,, Mg1Al2H8,-0.017492435,-1.687762853
 Mg, K,, K1Mg1H3,-0.259365366,-25.02494516
 Mg, K,, K2Mg1H4,-0.253903635,-24.49796843
 Mg, Ca,, Ca4Mg3H14,-0.405107088,-39.08687896
 Mg, Ca,, Ca19Mg8H54,-0.458370409,-44.22600644
 Mg, Ti,, Mg1Ti7H16,-0.441032254,-42.55312936
 Mg, Ti,, Mg6Ti1H16,-0.073425522,-7.084483508
 Mg, Ti,, Mg7Ti1H16,-0.135595195,-13.08294304
 Mg, Ti,, Mg1Ti1H4,-0.276712624,-26.6987005
 Mg, Ti,, Mg1Ti3H8,-0.393006761,-37.9193752
 Mg, Ti,, Mg3Ti1H8,-0.170628089,-16.46310236
 Mg, V,, Mg6V1H16,-0.070889605,-6.839804826
 Mg, V,, Mg7V1H16,-0.099977491,-9.646358233
 Mg, Mn,, Mg3Mn1H7,-0.24933628,-24.05728579
 Mg, Mn,, Mg3Mn1H6,-0.019443938,-1.876054234
 Mg, Fe,, Mg2Fe1H6,-0.290243865,-28.00426635
 Mg, Co,, Mg2Co1H5,-0.263044744,-25.37995101
 Mg, Ni,, Mg2Ni1H4,-0.249080379,-24.03259511
 Mg, Ga,, Mg1Ga1H4,0.16524504,15.94371729
 Mg, Rb,, Rb4Mg3H10,-0.235116268,-22.68526367
 Mg, Rb,, Rb1Mg1H3,-0.235118395,-22.68546889
 Mg, Rb,, Rb2Mg1H4,-0.206878651,-19.96074875
 Mg, Rb,, Rb3Mg1H5,-0.198924665,-19.19330601
 Mg, Sr,, Sr2Mg3H10,-0.343390584,-33.13214348
 Mg, Sr,, Sr1Mg1H4,-0.385837625,-37.22765897
 Mg, Sr,, Sr2Mg1H6,-0.431356294,-41.61954139
 Mg, Sr,, Sr6Mg7H26,-0.367236499,-35.43292375
 Mg, Nb,, Mg6Nb1H16,-0.055305807,-5.336197376
 Mg, Nb,, Mg7Nb1H16,-0.131273098,-12.66592423
 Mg, Nb,, Mg1Nb2H4,-0.15504233,-14.95930569
 Mg, Tc,, Mg3Tc1H7,-0.285676105,-27.56354467
 Mg, Ru,, Mg2H4Ru1,-0.333807674,-32.20753356
 Mg, Ru,, Mg2H6Ru1,-0.327268133,-31.57656404
 Mg, Cs,, Cs1Mg1H3,-0.237981326,-22.96169968
 Mg, Cs,, Cs2Mg1H4,-0.227471497,-21.94765561
 Mg, Cs,, Cs3Mg1H5,-0.215191387,-20.76280555
 Mg, Cs,, Cs4Mg3H10,-0.243206384,-23.4658409
 Mg, Ba,, Ba2Mg3H10,-0.357968303,-34.53867907
 Mg, Ba,, Ba6Mg7H26,-0.378608668,-36.53017091
 Mg, Ba,, Ba1Mg1H4,-0.385216267,-37.1677071
 Mg, Ba,, Ba2Mg1H6,-0.436907014,-42.15510428
 Mg, La,, La1Mg2H7,-0.344901346,-33.2779098
 Mg, Ce,, Ce1Mg2H7,-0.308103071,-29.72741722
 Mg, Sm,, Sm1Mg2H7,-0.312820002,-30.18253175
 Mg, Eu,, Eu1MgH4,-0.435687399,-42.03742938
 Mg, Eu,, Eu1Mg2H6,-0.372954219,-35.98459971
 Mg, Eu,, Eu2Mg3H10,-0.382371466,-36.8932256
 Mg, Eu,, Eu2Mg1H6,-0.518556216,-50.03305205
 Mg, Eu,, Eu6Mg7H26,-0.413146851,-39.86259782
 Mg, Eu,, Eu1Mg2H5,-0.264093761,-25.48116571
 Mg, Yb,, Yb4Mg3H14,-0.430004093,-41.48907389
 Mg, Re,, Mg3Re1H7,-0.247674566,-23.89695482
 Mg, Os,, Mg2H6Os1,-0.332334776,-32.06542054
 Al, K,, K1Al1H4,-0.195996085,-18.91074108
 Al, K,, K3Al1H6,-0.209469302,-20.21070843
 Al, Ca,, Ca1Al1H5,-0.289456336,-27.92828142
 Al, Ca,, Ca1Al2H8,-0.153137447,-14.77551253
 Al, Sr,, Sr1Al1H5,-0.313804188,-30.27749122
 Al, Sr,, Sr1Al2H2,-0.302293581,-29.16688684
 Al, Ba,, Ba1Al1H5,-0.328701247,-31.71483845
 Al, Ba,, Ba2Al1H7,-0.410152345,-39.57367201
 Al, La,, La1Al1H6,-0.33626457,-32.44458795
 Al, Ce,, Ce1Al1H6,-0.283279019,-27.33226112
 Al, Pr,, Pr1Al1H6,-0.284022338,-27.40398045
 Al, Nd,, Nd1Al1H6,-0.283462317,-27.34994672
 Al, Th,, Th8Al4H11,-0.438985329,-42.35563117
 Al, Th,, Th2Al1H4,-0.452926093,-43.70071
 K, Ca,, K1Ca1H3,-0.383503299,-37.00243084
 K, Mn,, K3Mn1H5,-0.0827775,-7.986811918
 K, Zn,, K2Zn1H4,-0.234425862,-22.61864958
 K, Zn,, K3Zn1H5,-0.226194806,-21.82447368
 K, Ga,, K1Ga1H4,-0.178224904,-17.19608329
 K, Pd,, K3H3Pd1,-0.229828999,-22.17511991
 K, Pd,, K2H4Pd1,-0.293785951,-28.34602564
 K, Pd,, K3H5Pd1,-0.263362976,-25.41065577
 K, Re,, K2Re1H9,-0.255405906,-24.64291543
 K, Re,, K3Re1H6,-0.032551142,-3.140706731
 K, Pt,, K2H4Pt1,-0.410203833,-39.57863986
 K, Pt,, K3H5Pt1,-0.353129705,-34.07182554
 K, Pt,, K2H6Pt1,-0.398162457,-38.41682411
 Ca, Fe,, Ca2Fe1H6,-0.541849878,-52.28054805
 Ca, Ni,, Ca1Ni1H3,-0.474064239,-45.74023035
 Ca, Ga,, Ca1Ga1H4,-0.128910749,-12.43799229
 Ca, Rb,, Rb1Ca1H3,-0.385574165,-37.20223901
 Ca, Rb,, Rb2Ca1H4,-0.324359004,-31.29587582
 Ca, Ru,, Ca2H6Ru1,-0.608057398,-58.66860048
 Ca, Rh,, Ca4H12Rh3,-0.592828088,-57.19919594
 Ca, Sn,, Ca5Sn3H1,-0.700022557,-67.54188642
 Ca, Sn,, Ca3Sn1H2,-0.660668437,-63.74479233
 Ca, Cs,, Cs1Ca1H3,-0.393759575,-37.99201075
 Ca, Cs,, Cs2Ca1H4,-0.335239636,-32.34569681
 Ca, Os,, Ca2H6Os1,-0.607193126,-58.58521091
 Ca, Pb,, Ca3H2Pb1,-0.602469485,-58.12944899
 Sc, Pd,, Sc1H4Pd3,-0.317339813,-30.61862706
 Ti, Fe,, Ti1Fe1H2,-0.290405075,-28.01982074
 Ti, Fe,, Ti1Fe1H1,-0.339138985,-32.72192674
 Ti, Ni,, Ti2Ni1H1,-0.337786498,-32.5914316
 Ti, Cu,, Ti2Cu1H2,-0.30289741,-29.22514751
 Ti, Zr,, Zr1Ti2H4,-0.484257169,-46.7236982
 Ti, Pd,, Ti2H1Pd1,-0.485274591,-46.82186451
 Ti, Pd,, Ti2H2Pd1,-0.502025818,-48.43811169
 Ti, Pd,, Ti2H3Pd1,-0.432143936,-41.69553728
 Ti, Pd,, Ti4H3Pd2,-0.387797621,-37.41676983
 Ti, Pd,, Ti2H4Pd1,-0.378533059,-36.5228758
 Ti, Sn,, Ti3Sn1H1,-0.453212948,-43.72838726
 Ti, Au,, Ti3H3Au1,-0.467485318,-45.10546118
 Ti, Th,, Th1Ti2H6,-0.343835164,-33.17503895
 V, Hf,, Hf1V2H4,-0.301065454,-29.04839066
 Cr, Zr,, Zr1Cr2H3,0.129728729,12.51691533
 Mn, Rb,, Rb3Mn1H5,-0.074152944,-7.154669034
 Mn, Sn,, Mn3Sn1H1,-0.024890228,-2.401541124
 Mn, Cs,, Cs3Mn1H5,-0.088911353,-8.578638543
 Fe, Sr,, Sr2Fe1H6,-0.500002151,-48.24285758
 Fe, Zr,, Zr3Fe1H2,-0.346888534,-33.46964428
 Fe, Zr,, Zr2Fe1H5,-0.407423193,-39.31034897
 Fe, La,, La1Fe5H12,-0.066777428,-6.443040186
 Fe, La,, La1Fe5H2,-0.039673973,-3.827955192
 Fe, La,, La1Fe5H7,-0.096845153,-9.34413365
 Fe, Nd,, Nd2Fe17H3,-0.027240593,-2.628316834
 Fe, Eu,, Eu2Fe1H6,-0.60980761,-58.83747023
 Fe, Er,, Er1Fe2H3,-0.19769894,-19.0750415
 Co, Y,, Y1Co3H2,-0.223120454,-21.52784392
 Co, Zr,, Zr1Co1H3,-0.399388693,-38.53513789
 Co, Zr,, Zr2Co1H5,-0.430157623,-41.5038873
 Co, La,, La1Co5H4,-0.108654513,-10.48356327
 Co, Pr,, Pr1Co5H4,-0.049648249,-4.790326163
 Co, Th,, Th1Co1H4,-0.39379457,-37.9953872
 Ni, Zr,, Zr1Ni1H1,-0.441729049,-42.62035982
 Ni, Zr,, Zr1Ni1H3,-0.439906325,-42.44449377
 Ni, Zr,, Zr4Ni2H9,-0.453245362,-43.73151469
 Ni, La,, La1Ni5H7,-0.234635298,-22.63885709
 Ni, La,, La1Ni1H4,-0.400298276,-38.62289929
 Ni, Th,, Th1Ni2H2,-0.397465131,-38.34954239
 Cu, Zr,, Zr2Cu1H2,-0.348872389,-33.6610571
 Cu, Ba,, Ba7Cu3H17,-0.401276302,-38.71726434
 Zn, Rb,, Rb2Zn1H4,-0.229900837,-22.18205126
 Zn, Rb,, Rb3Zn1H5,-0.213409702,-20.59089915
 Zn, Cs,, Cs2Zn1H4,-0.243140438,-23.45947811
 Zn, Cs,, Cs3Zn1H5,-0.221778329,-21.39834861
 Ga, Rb,, Rb1Ga1H2,-0.218589065,-21.0906315
 Ga, Rb,, Rb1Ga1H4,-0.187625058,-18.10305998
 Ga, Rb,, Rb8Ga5H15,-0.188746898,-18.21130106
 Ga, Sr,, Sr1Ga1H4,-0.151263579,-14.59471183
 Ga, Sr,, Sr1Ga2H2,-0.412933559,-39.84201831
 Ga, Cs,, Cs1Ga1H4,-0.205536314,-19.83123287
 Ga, Ba,, Ba1Ga2H2,-0.435898387,-42.05778663
 Ga, Ba,, Ba5Ga6H2,-0.478387575,-46.15736865
 Ga, Ba,, Ba1Ga1H4,-0.115496087,-11.14367463
 Rb, Pd,, Rb2H4Pd1,-0.27653942,-26.68198888
 Rb, Pd,, Rb3H5Pd1,-0.24310126,-23.45569801
 Rb, Pt,, Rb2H4Pt1,-0.395157139,-38.12685511
 Rb, Pt,, Rb3H5Pt1,-0.331260813,-31.96179891
 Rb, Pt,, Rb2H6Pt1,-0.38638284,-37.28026427
 Sr, Ru,, Sr2H6Ru1,-0.58189424,-56.14424035
 Sr, Pd,, Sr2H4Pd1,-0.548122837,-52.88579636
 Zr, Pd,, Zr2H2Pd1,-0.545833549,-52.66491371
 Zr, Pd,, Zr2H3Pd1,-0.339409251,-32.74800341
 Zr, Th,, Th1Zr2H7,-0.442309129,-42.67632901
 Ru, Ba,, Ba2H6Ru1,-0.529623436,-51.1008761
 Ru, Eu,, Eu2H6Ru1,-0.672979815,-64.93265932
 Ru, Yb,, Yb2H6Ru1,-0.658567497,-63.54208252
 Pd, Cs,, Cs2H4Pd1,-0.282480702,-27.25523527
 Pd, Cs,, Cs3H5Pd1,-0.246263972,-23.7608532
 Pd, Ba,, Ba2H4Pd1,-0.518577991,-50.03515306
 Pd, Eu,, Eu1H3Pd1,-0.632647953,-61.04122757
 Pd, Eu,, Eu2H4Pd1,-0.660886858,-63.76586673
 Pd, Hf,, Hf2H2Pd1,-0.535946637,-51.71097204
 Pd, Tl,, Tl1H1Pd3,-0.262140061,-25.29266247
 Cd, Cs,, Cs3Cd1H5,-0.171458207,-16.54319652
 In, Ba,, Ba9In4H1,-0.325398495,-31.39617142
 Cs, Pt,, Cs2H4Pt1,-0.401146567,-38.70474686
